Announcement Date,Announcement Detail,Company Name,Date,Fiscal Year,Symbol,Tags
2025/05/10 AD (2082/01/27 BS),"Bikash Hydropower Company Limited is going to issue its 3,54,550.00 units of IPO shares to the foreign employment citizens of Nepal starting from 6th - 20th Jestha, 2082",Bikash Hydropower Company Limited,2025/05/20 AD (2082/02/06 BS),081-082,BHCL,"Notice, Initial public offering, Foreign Employment, Issue"
2025/05/10 AD (2082/01/27 BS),"Bikash Hydropower Company Limited is going to issue its 9,09,101.00 units of IPO shares to the project affected local residents of Gorkha District, Dharche VDC Ward No. 01 - 07 starting from 6th - 20th Jestha, 2082",Bikash Hydropower Company Limited,2025/05/20 AD (2082/02/06 BS),081-082,BHCL,"Notice, Initial public offering, Project Affected, Issue"
2025/04/13 AD (2081/12/31 BS),"Trade Tower Limited is going to issue its 3,97,169.30 units of IPO shares to the foreign employment citizens of Nepal starting from 8th - 22nd Baishakh, 2082",Trade Tower Limited,2025/04/21 AD (2082/01/08 BS),081-082,TTL,"Notice, Initial public offering, Foreign Employment, Issue"
2025/04/09 AD (2081/12/27 BS),"Sanvi Energy Limited is going to issue its 8,80,000.00 units of IPO shares to the project affected local residents of Illam District's Illam Municipality Ward No. 10 (Former Godak VDC Ward No. 01-09), Maijogmai VDC Ward No. 01 (Former Naya Bazar VDC Ward No. 01-04, 06-09), Maijogmai VDC Ward No. 03 & 04 (Former Namsaling VDC Ward No. 01-09/Naya Bazar VDC Ward No.05), Suryodaya Municipality Ward No. 10 (Former Fikkal VDC Ward No. 06-09)/Suryodaya Municipality Ward No. 11 (Former Panchakanya VDC Ward No. 02, 06, & 08) starting from 5th - 19 Baishakh, 2082",Sanvi Energy Ltd.,2025/04/18 AD (2082/01/05 BS),081-082,SANVI,"Notice, Initial public offering, Project Affected, Issue"
2025/04/09 AD (2081/12/27 BS),"Sanvi Energy Limited is going to issue its 2,91,000.00 units of IPO shares to the foreign employment citizens of Nepal starting from 5th - 19 Baishakh, 2082",Sanvi Energy Ltd.,2025/04/18 AD (2082/01/05 BS),081-082,SANVI,"Notice, Initial public offering, Foreign Employment, Issue"
2025/03/31 AD (2081/12/18 BS),"Pure Energy Limited is going to issue its 11,95,200.00 units of IPO shares to the general public starting from 28th Chaitra, 2081 - 2nd Baishakh, 2082",Pure Energy Ltd.,2025/04/10 AD (2081/12/28 BS),081-082,PURE,"Notice, Initial public offering, Issue"
2025/03/04 AD (2081/11/20 BS),"Om Megashree Pharmaceuticals Limited is going to issue its 14,76,000.00 units of IPO shares to the general public starting from 27th Falgun - 3rd Chaitra, 2081",Om Megashree Pharmaceuticals Limited,2025/03/11 AD (2081/11/27 BS),081-082,OMPL,"Notice, Initial public offering, Issue"
2025/02/20 AD (2081/11/08 BS),"Crest Micro Life Insurance Limited is going to issue its 18,45,000.00 units of IPO shares to the general public starting from 22nd - 26th Falgun, 2081",Crest Micro Life Insurance Ltd.,2025/03/06 AD (2081/11/22 BS),081-082,CREST,"Notice, Initial public offering, Issue"
2025/02/21 AD (2081/11/09 BS),"Pure Energy Limited is going to issue its 1,44,000.00 units of IPO shares to the foreign employment citizens of Nepal starting from 20th Falgun - 5th Chaitra, 2081",Pure Energy Ltd.,2025/03/04 AD (2081/11/20 BS),081-082,PURE,"Notice, Initial public offering, Issue, Foreign Employment"
2025/02/21 AD (2081/11/09 BS),"Pure Energy Limited is going to issue its 1,60,000.00 units of IPO shares to the project affected local residents of Banke District starting from 20th Falgun - 5th Chaitra, 2081",Pure Energy Ltd.,2025/03/04 AD (2081/11/20 BS),081-082,PURE,"Notice, Initial public offering, Project Affected, Issue"
2025/02/12 AD (2081/10/30 BS),"Nepal Micro Insurance Co. Limited is going to issue its 18,45,000.00 units of IPO shares to the general public starting from 11th - 15th Falgun, 2081",Nepal Micro Insurance Co. Ltd.,2025/02/23 AD (2081/11/11 BS),081-082,NMIC,"Notice, Initial public offering, Issue"
2025/01/23 AD (2081/10/10 BS),"Om Megashree Pharmaceuticals Limited is going to issue its 1,80,000.00 units of IPO shares to the foreign employment citizens of Nepal starting from 21st Magh - 5th Falgun, 2081",Om Megashree Pharmaceuticals Limited,2025/02/03 AD (2081/10/21 BS),081-082,OMPL,"Notice, Initial public offering, Foreign Employment, Issue"
2025/01/20 AD (2081/10/07 BS),"Crest Micro Life Insurance Limited is going to issue its 2,25,000.00 units of IPO shares to the foreign employment citizens of Nepal starting from 15th - 29th Magh, 2081",Crest Micro Life Insurance Ltd.,2025/01/28 AD (2081/10/15 BS),081-082,CREST,"Notice, Initial public offering, Foreign Employment, Issue"
2025/01/12 AD (2081/09/28 BS),"Nepal Micro Insurance Co. Limited is going to issue its 2,25,000.00 units of IPO shares to the foreign employment citizens of Nepal starting from 8th - 22nd Magh, 2081",Nepal Micro Insurance Co. Ltd.,2025/01/21 AD (2081/10/08 BS),081-082,NMIC,"Notice, Initial public offering, Foreign Employment, Issue"
